"","Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Change in T/S Ratio between Year 1 to Year 2,
Quartile 2: [-0.22, 0.04) vs. Quartile 1: <-0.22"," "," "," ","Change in T/S Ratio between Year 1 to Year 2,
Quartile 3: [0.04, 0.25) vs. Quartile 1: <-0.22"," "," "," ","Change in T/S Ratio between Year 1 to Year 2,
Quartile 4: >=0.25 vs. Quartile 1: <-0.22"," "," "," "
"1"," "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
"2"," "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"3","LAZ, Year 2","557","-1.58","-1.44","-1.64","-1.61","0.14 (-0.08, 0.36)","0.27","0 (-0.14, 0.14)","0.98","-0.06 (-0.27, 0.15)","0.64","-0.15 (-0.29, -0.02)","0.21","-0.03 (-0.26, 0.2)","0.83","0.01 (-0.13, 0.15)","0.98"
"4","WAZ, Year 2","557","-1.55","-1.39","-1.57","-1.65","0.16 (-0.07, 0.38)","0.51","0.01 (-0.11, 0.13)","0.95","-0.02 (-0.23, 0.19)","0.96","-0.13 (-0.24, -0.03)","0.13","-0.1 (-0.32, 0.11)","0.79","0 (-0.12, 0.12)","0.95"
"5","WLZ, Year 2","557","-0.97","-0.88","-0.98","-1.1","0.09 (-0.12, 0.31)","0.68","-0.04 (-0.16, 0.09)","0.85","-0.01 (-0.22, 0.21)","0.96","-0.07 (-0.21, 0.07)","0.63","-0.13 (-0.33, 0.07)","0.45","-0.08 (-0.22, 0.06)","0.63"
"6","HCZ, Year 2","557","-1.85","-1.65","-1.75","-1.9","0.2 (-0.02, 0.42)","0.35","0.06 (-0.14, 0.27)","0.94","0.11 (-0.11, 0.32)","0.61","0.02 (-0.19, 0.24)","0.94","-0.05 (-0.25, 0.16)","0.76","-0.04 (-0.25, 0.18)","0.94"
"7"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"8","Change in LAZ between Year 1 and Year 2","557","-0.08","-0.2","-0.16","-0.17","-0.12 (-0.23, -0.01)","0.18","-0.08 (-0.19, 0.03)","0.55","-0.09 (-0.2, 0.03)","0.21","-0.07 (-0.18, 0.04)","0.55","-0.09 (-0.2, 0.02)","0.21","-0.04 (-0.17, 0.09)","0.76"
"9","Change in WAZ between Year 1 and Year 2","557","-0.18","-0.26","-0.26","-0.2","-0.08 (-0.19, 0.03)","0.3","-0.08 (-0.19, 0.03)","0.42","-0.08 (-0.19, 0.03)","0.3","-0.12 (-0.25, 0)","0.36","-0.01 (-0.13, 0.1)","0.83","0.02 (-0.12, 0.16)","0.77"
"10","Change in WLZ between Year 1 and Year 2","557","-0.09","-0.15","-0.16","-0.06","-0.06 (-0.21, 0.09)","0.65","-0.09 (-0.24, 0.06)","0.7","-0.07 (-0.23, 0.08)","0.65","-0.1 (-0.25, 0.06)","0.7","0.03 (-0.14, 0.2)","0.72","-0.03 (-0.2, 0.14)","0.7"
"11","Change in HCZ between Year 1 and Year 2","555","-0.02","-0.04","-0.03","-0.09","-0.03 (-0.14, 0.09)","0.95","-0.01 (-0.13, 0.11)","0.86","-0.01 (-0.14, 0.11)","0.95","-0.1 (-0.22, 0.03)","0.31","-0.07 (-0.2, 0.05)","0.95","-0.11 (-0.25, 0.03)","0.31"
"12"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"13","Length velocity (cm/month) between Year 1 and Year 2","557","0.81","0.79","0.78","0.79","-0.02 (-0.04, 0.01)","0.4","-0.02 (-0.04, 0)","0.24","-0.02 (-0.05, 0)","0.4","-0.05 (-0.07, -0.02)","0.01","-0.02 (-0.05, 0.01)","0.4","-0.01 (-0.04, 0.02)","0.76"
"14","Weight velocity (kg/month) between Year 1 and Year 2","557","0.16","0.15","0.15","0.15","0 (-0.01, 0.01)","0.56","0 (-0.01, 0.01)","0.74","-0.01 (-0.02, 0)","0.56","-0.01 (-0.02, 0)","0.05","0 (-0.01, 0.01)","0.56","0 (-0.01, 0.01)","0.61"
"15","Head circumference velocity (cm/month) between Year 1 and Year 2","557","0.15","0.15","0.15","0.15","0 (-0.01, 0.01)","0.78","0 (-0.01, 0.01)","0.92","0 (-0.01, 0.02)","0.78","0 (-0.02, 0.01)","0.92","-0.01 (-0.02, 0.01)","0.71","-0.01 (-0.03, 0)","0.66"
